you're always scared and nervous! face me!	いつも ビクビクして! 私と向き合って。
via these dense interconnections	場所細胞が互いに活性化させあい
and we should begin by reimagining leather.	手始めに皮革を再度見直す必要があります
together.	組むのだ
so what happened is that a 24yearold man	ある24歳の男性が
we'll figure it out.	2人で解決しましょう
right?!	そうだよねぇ
how about that?	おお、スカイラー!
hello, deltaxray.	デルタ -X -レイ
you guys get out of my way!	どけ この野郎!
crops are burned. animals slaughtered.	作物は燃やされ 家畜は屠殺され
there you are in the grass, youchan.	草むらの中
cut the thread with your teeth and tie it off.	歯で糸を切って そのままにしておきなさい
we want it all. eu querote comprar...	その世話役の人が...
who's cyrus?	サイラスって誰だ?
so, he built a temple in her honor, facing his.	王は妻にベタ惚れで 彼の神殿に面して 妻の神殿を建設
one doctor's take on the subject.	皆さんに伝えたいと思います
what	なん...何で
and i hope those won't be necessary.	それが必要ない事を願ってる
in my time at treblinka	ポーランドのトレブリンカ 強制収容所にいた時
and joyful people	喜び溢れる人々が 増えれば増えるほど
anyway, hurry!	上様!
i got my phone. no fucking keys, though.	携帯があった 鍵はないな
ha, ha.	概ねそう言った
come on, richard.	やめろ
and really do give them a hug.	そして彼らを抱きしめてあげてください
a better orbit. but then what we do is we launch	軌道を修正できます しかしむしろ行うべきは
you want to know what money sounds like?	あなたは、お金がどう 聞こえるか知りたい?
and for spinning in the air.	空中回転のためです
nasty. no, wait, that hurt.	いや 痛いじゃないか
john is not suicidal.	ジョンは自殺なんかしない
and is going to finish with one case.	そして最後の一つの症例をもって 終わりを迎えるのです
now, our sun will not collapse to a black hole	改めて 太陽はブラックホールにはなりません
i learned to love landscapes.	私は風景が大好きになりました
this is kelly young	最後のお話です:この方は、ケリー・ヤング、
huh? study?	えっ 勉強!?
were discussing sexual harassment on the campus	キャンパスでのセクハラについて議論しはじめました
on post road?	郵便局の
you're telling me that i'm dead.	あんたらが 誰かも知らないし
i don't know why you would want to do that	そのなことをする意味があるか分かりませんが
what does it sound like?	いつも? どんな曲?
you'll never find us.	決して見つかることはない
no, you won't.	ええ、ないでしょう
it was my attempt to rectify the mistake i made.	私は自分のミスを 正そうとした
i don't know this pushkov!	プシュコフを知らない!
decent? don't make me laugh.	まとも? 笑わせるな。 出歩いて遊びまわってるのが➡
questioning for the last 10 or so years	コンピューティングの 可能性について考えていて
long live the fifth column.	フィフス カラムに栄光あれ
im just getting the car keys.	《車の鍵 取りに来ただけだよ》
a swiftly flowing stream of memory and sorrow	途絶えることのない- 古の記憶と哀しみ
good.	分かった。
it became clear:	はっきりしてきました
you telling me you're still on site?	まだ現場に?
if there were any ways that	模索したのは
i want to do it.	根据不同的用法 甚至可以操纵很多妖怪
you two were buddies. i just thought...	お前ら親友だったから・・・
and you can see how they all converge.	一か所に集まっています
hey. why would you tell her that?	なんで教えるのさ
if anyone can motivate him to move, and jan will.	励みになるはずだ
oh, okay.	そうよ 皆あの家がいけないのよ
open the door, detective.	ドアを開けろ 刑事
although a dirty secret if you ask me.	秘密の汚い仕事をしているのを
is this the zenica shelter?	これはゼニツァ避難所ですか?
now let me tell you.	今度は私が話す番だ
your house? i don't	あんたの家?
he has a relationship with it.	触れる・・
you still haven't told anyone, right?	まだ誰にも 言ってないよね?
oh, come on! oh, come on!	ああ ジャック。
why send a letter claiming responsibility now?	どうして今になって 犯行声明文を?
that astonished the media business.	メディア企業を驚かせるようなことをする機会を与えました
did you?	じゃ、あなたは?
morning.	うぃ~す。
even if i forget the man i loved	恋した男のことは忘れても
you're being weird. time for what?	おかしいわよ 何のための時間よ?
not mine.	私の仕事じゃなくな
meteor buster attack!	メテオバスターアタック!
or one dollar. right? you'd never want to play.	そうでしょ? だれもプレイしませんよ
there is also a medical contribution here	医学的要因があります
and those were then distributed to djs	djたちの手に渡って
wait! wait! wait!	ちょっと! 坂田さん 待って~!
please make me a man	「僕を男にしてください」っていう あれ。
bite them.	噛まない
bf: they're a good crew! whoa!	BF: なんていいスタッフだ!ワォ!
why don't you let the lady in?	ご婦人に譲らないか?
i feel fine, dr. norton.	大丈夫です、ノートン博士
homan shrine. kumano beach. cape kadokura.	宝満神社 熊野海岸 門倉岬...」 《ロケットが...》
i was so happy.	私 嬉しかった
what about her?	それがどうかした?
do you have plans tonight?	今夜 予定は?
to protect their watershed and global commerce.	世界貿易と合わせて運河流域の 保護にも力を注いでいるのです
hi, liz. you ok, love?	よう リズ 大丈夫か?
you think you better than everybody else?	バカにしてんのか
how much social progress are we going to get?	どの程度 社会は進歩するのか という点です
i'm starting to feel a little anxious.	ちょっと心配になってきました」
i said, fuck you	くそったれと言ったのだ
but if you do, i've got news for you benedict	見ているなら ニュースがあります ベネディクト
you wouldn't.	そうだろう
hey, sakura.	桜ちゃんは
got to finish my run.	目的地に行ってくる
how do you know that?	なぜ知ってる?
who do you like more, me or this girl?	[テレビ]私と この子 どっちが好きなの?
so this object is a soul disc.	とにかく これがソウルディスクです
zoey, i will not let him hurt you.	ゾーイ、大丈夫だ。
um... no, i didn't.	あの... しておりません。
may not be enough, at least not alone.	それだけでは足りません
there was a cloud of gas and dust.	ガスとチリでできた雲がありました
this is our only chance!	我只要当个纯战士就好了
you're like my own son, glenn.	息子のように思ってる グレン
they click enter and this data gets converted	enterをクリックすれば3dプリンタ専用の
excuse me, mr. ross. did you say something?	ロス 何が言いたい?
but all i'm pissin' is dust.	ほこりしか出なかったけど
you were snoring very loudly.	すごいイビキだったわ
[episode 3]	第3話 -
tough shit... it's a family business	ざけるな・・ ファミリービジネスだろ
he was in contact with hasunuma kotaro too.	蓮沼 孝太郎とも 接触していました。
! what kind of monster would do this to a boy?	どんな怪物が こんなことをしたの?
of whether the information is relevant to you	薬品が関連するかどうか
even at this executor ... ... stop!	きさまも この処刑台で...。 やめて!
i don't want to help him.	彼を助けたくないわ
just get me out of here.	ここから出して
what am i supposed to tell my staff?	皆にどう説明すれば いいですか?
as far as i'm concerned, you never inhaled.	お前はやってないと 思ってる
would a fourman fire team do it?	4人体制なら?
so, all right. so long, jerkoffs.	もういいだろ長居は無用だ
but, actually, as we now know, they did move.	しかし、実際はご存知のように 動きました
lawsuits among them.	訴訟というリスクもある
seo jae hyuk is sentenced to death.	被告 ソ・ジェヒョクに対し 死刑を宣告する
number twenty.. one!	20...。 1番!
ask me about the lightning	雷の事を
so, this once please forgive us.	ですから 今回だけは どうぞ ご了承ください。
today, you might say, we will not lose.	今日が僕達の NFL優勝決定戦かもしれない
i think he sees me as the whole package.	今はあたしをデカく愛してくれてるの
fine!	結構よ
oh, what is this?	これは?
well, don't be in such a rush...	こんなところで 寝てる場合じゃねえってばよ。
but again, consider this:	でも もう一度考えてみてください
and we have to find a way to create	今日生きている私達の世代が
oh. are we going?	我々も行くのか?
i can't give you my blood. not right now.	でも今はまだ 僕の血をあげれない
lend me a dvd.	dvd貸して
you ever think...	もしかしたら...
traffic was congested.	(芝山) 梅林が車ん中から 火事 見てたかもな
hhold on, where are you going?	ちょ、ちょっと どこ行くのよ
at first, everything went smooth.	最初は全て順調だったの
that's the science puter lab is in there.	あれが化学室 コンピューター室はこの中
this photo was taken just before they left	この写真は祖母たちが イタリアからアメリカへ
oh, jeez.	あら、しまったわ。
bring her! my god... for your sins	連れて来い! 貴様の罪により
yes, yes.	はい すぐにお支払いします
in a very much more interdisciplinary way.	研究を始めなければなりません
this is all wrong.	ヘンだわ
definitely didn't picture my demise like this.	これは想定してなかった
do you know who did it?	誰が殺したか知ってる?
i know they were scared before	きっと説得できるわ
but i can tell why they're fighting	だが 流魂街の住人相手に 本気じゃ 戦えねえだろ?
i'm gonna kindle that.	今度読むかな
let's go listen quietly?	こっそり 聞いて参りましょうか?
hey! hey, asshole!	おーい バカ野郎
you're a cowboy!	カウボーイだ!
a barrier, huh?	結界か
we... move through time.	時間を移動する
well, that's another story never mind, anyway	さて本題に戻ろう... 気にしないで とにかく
but i don't think you should be worrying about us.	だが我々を心配するより
and yared, eventually recognized as saint yared	ヤレドは後に 聖人として世に知られますが
huh? how?	え... ? そんな...
i've tried to be kind to you.	一生懸命好意を示したのに
what's your name?	名前は何ていうの?
it is because of men the ring survives.	そもそも1つの指輪が生き残ったのは 人間に理由があるのだ
but none of my regular sources can confirm that.	情報源は確証がないと
temperature of 32 degrees	すなわち摂氏32度という気温は
how's my sister working out for you?	オレの妹がお前のために 働かされてるのは?
this is my true form.	これが 我の姿。
hey, where are you going?	なぁ トシよ...。
she needs help.	助けが必要なのよ
73 days.	73日間.
yeah. what a chance to learn.	いつまでも教えて もらえるわ
she basically called me a murderer.	私の事を人殺しと
hello.	[こんばんは アンソニー]
but i'd heard that...	"でも ""手首を切るのは爽快だ"" って聞いたんだ"
can you get a woman to accept those polio drops	「母親たちはポリオの薬を飲ませることを 了承するか?」
it's not a problem.	いいんですよ
huhuh. it's been here awhile.	放置されてる
understand, go ahead.	わかりました。 どうぞ。
he looks like he's swimming on land.	陸の上を泳いでるみたい
oh, i won't ruin it for you then.	じゃあ台無しに しないようにするわ
i'm flattered.	光栄です
dad, hurry, i'm gonna be late.	パパ 急いで! 遅刻する
bg: if you get into that situation	BG:そういう状況というのは
yes, i'm...	はい...
look, we need to find him. it's important.	ジミーを見つけないと いけないの
you look amazing.	綺麗だよとっても
like nomex or, more recently, carbonex	ノーメックスや より最近のものではカーボネックスといった
now, let's see.	よし、会いに行こうか。
who forced you?	誰が強制したの? 知らない
but	でも 血が
ah, the enemy must be stopped.	敵は、止めねばならない
remember that photo we all took?	撮った写真が あるんだ
molecular hydrogen, molecular nitrogen	水素分子や窒素分子
inohara...you were here 12 years ago weren't you.	猪原係長... あなたは12年前 ここにいましたよね?
we've run some tests, veronica.	「ベロニカ いくつか検査をしましたが
